timestamp,y,y1,z,z1,anomaly_score
2024-04-01 00:00:00,145.0,0.0,0.0,0.0,0.5433706
2024-04-01 00:05:00,144.91680553831824,0.0,0.0,0.0,0.49834168
2024-04-01 00:10:00,144.83407249786677,0.0,0.0,0.0,0.47138104
2024-04-01 00:15:00,144.75179831946622,0.0,0.0,0.0,0.45339972
2024-04-01 00:20:00,144.66998045813116,0.0,0.0,0.0,0.44011065
2024-04-01 00:25:00,144.5886163829914,0.0,0.0,0.0,0.4294141
2024-04-01 00:30:00,144.50770357721376,0.0,0.0,0.0,0.42022082
2024-04-01 00:35:00,144.4272395379241,0.0,0.0,0.0,0.41193753
2024-04-01 00:40:00,144.34722177613,0.0,0.0,0.0,0.4042284
2024-04-01 00:45:00,144.26764781664372,0.0,0.0,0.0,0.3968988
2024-04-01 00:50:00,144.1885151980057,0.0,0.0,0.0,0.38983408
2024-04-01 00:55:00,144.10982147240824,0.0,0.0,0.0,0.38296553
2024-04-01 01:00:00,144.03156420562004,0.0,0.0,0.0,0.37625208
2024-04-01 01:05:00,143.95374097691075,0.0,0.0,0.0,0.36966842
2024-04-01 01:10:00,143.87634937897602,0.0,0.0,0.0,0.3631992
2024-04-01 01:15:00,143.7993870178632,0.0,0.0,0.0,0.35683456
2024-04-01 01:20:00,143.72285151289725,0.0,0.0,0.0,0.3505682
2024-04-01 01:25:00,143.64674049660695,0.0,0.0,0.0,0.34439605
2024-04-01 01:30:00,143.5710516146519,0.0,0.0,0.0,0.3383151
2024-04-01 01:35:00,143.49578252574946,0.0,0.0,0.0,0.3323232
2024-04-01 01:40:00,143.42093090160253,0.0,0.0,0.0,0.32641846
2024-04-01 01:45:00,143.3464944268274,0.0,0.0,0.0,0.32059956
2024-04-01 01:50:00,143.27247079888218,0.0,0.0,0.0,0.31486514
2024-04-01 01:55:00,143.19885772799552,0.0,0.0,0.0,0.30921403
2024-04-01 02:00:00,143.12565293709585,0.0,0.0,0.0,0.30364516
2024-04-01 02:05:00,143.05285416174095,0.0,0.0,0.0,0.29815736
2024-04-01 02:10:00,142.98045915004786,0.0,0.0,0.0,0.29274973
2024-04-01 02:15:00,142.90846566262317,0.0,0.0,0.0,0.2874212
2024-04-01 02:20:00,142.83687147249387,0.0,0.0,0.0,0.28217083
2024-04-01 02:25:00,142.7656743650384,0.0,0.0,0.0,0.2769975
2024-04-01 02:30:00,142.6948721379181,0.0,0.0,0.0,0.27190036
2024-04-01 02:35:00,142.62446260100924,0.0,0.0,0.0,0.26687843
2024-04-01 02:40:00,142.55444357633507,0.0,0.0,0.0,0.26193073
2024-04-01 02:45:00,142.4848128979986,0.0,0.0,0.0,0.25705642
2024-04-01 02:50:00,142.4155684121155,0.0,0.0,0.0,0.25225455
2024-04-01 02:55:00,142.34670797674755,0.0,0.0,0.0,0.2475242
2024-04-01 03:00:00,142.2782294618364,0.0,0.0,0.0,0.24286455
2024-04-01 03:05:00,142.21013074913753,0.0,0.0,0.0,0.2382746
2024-04-01 03:10:00,142.142409732155,0.0,0.0,0.0,0.23375353
2024-04-01 03:15:00,142.0750643160759,0.0,0.0,0.0,0.22930048
2024-04-01 03:20:00,142.008092417706,0.0,0.0,0.0,0.22491458
2024-04-01 03:25:00,141.94149196540494,0.0,0.0,0.0,0.22059503
2024-04-01 03:30:00,141.87526089902235,0.0,0.0,0.0,0.21634099
2024-04-01 03:35:00,141.80939716983403,0.0,0.0,0.0,0.2121516
2024-04-01 03:40:00,141.74389874047867,0.0,0.0,0.0,0.20802607
2024-04-01 03:45:00,141.6787635848947,0.0,0.0,0.0,0.2039636
2024-04-01 03:50:00,141.6139896882578,0.0,0.0,0.0,0.19996335
2024-04-01 03:55:00,141.5495750469183,0.0,0.0,0.0,0.19602463
2024-04-01 04:00:00,141.48551766833953,0.0,0.0,0.0,0.19214654
2024-04-01 04:05:00,141.42181557103595,0.0,0.0,0.0,0.18832842
2024-04-01 04:10:00,141.3584667845119,0.0,0.0,0.0,0.1845695
